               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (-1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-1.58702,-2.18435)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
            (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-1.58702,-2.18435)                (0,0)  (2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (2.56785,0.834346)                (0,0)   (4.95982e-16,-2.7)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)    (4.95982e-16,2.7)                (0,0) (-2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-2.56785,0.834346)                (0,0)    (1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (1.58702,-2.18435)                (0,0)    (1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (1.58702,-2.18435)                (0,0) (-2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-2.56785,0.834346)                (0,0)  (-1.48795e-15,-2.7)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (-1.48795e-15,2.7)                (0,0)  (2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)   (-1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (2.56785,0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (-1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-1.58702,-2.18435)
            (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-1.58702,-2.18435)                (0,0)  (2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (2.56785,0.834346)                (0,0)   (4.95982e-16,-2.7)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)    (4.95982e-16,2.7)                (0,0) (-2.56785,-0.834346)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-2.56785,0.834346)                (0,0)    (1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (1.58702,-2.18435)                (0,0)    (1.58702,2.18435)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (1.58702,-2.18435)                (0,0) (-2.56785,-0.834346)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-2.56785,0.834346)                (0,0)  (-1.48795e-15,-2.7)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (-1.48795e-15,2.7)                (0,0)  (2.56785,-0.834346)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-2.7,0)                (0,0)   (-1.58702,2.18435)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (2.56785,0.834346)                (0,0)
